Team,Stage 3
Toronto,40.476190476190474
Dallas,38.095238095238095
Sacramento,59.523809523809526
New Orleans,45.23809523809524
Phoenix,33.33333333333333
Chicago,47.61904761904761
Washington,50.0
Indiana,64.28571428571429
Philadelphia,45.23809523809524
Cleveland,33.33333333333333
Portland,52.38095238095239
Boston,50.0
Miami,64.28571428571429
Denver,66.66666666666666
Milwaukee,26.190476190476193
San Antonio,61.904761904761905
Orlando,61.904761904761905
Memphis,85.71428571428571
LA Clippers,47.61904761904761
Houston,76.19047619047619
Detroit,71.42857142857143
Atlanta,52.38095238095239
Golden State,73.80952380952381
Charlotte,47.61904761904761
Brooklyn,76.19047619047619
Okla City,38.095238095238095
Utah,40.476190476190474
Minnesota,50.0
New York,59.523809523809526
LA Lakers,40.476190476190474
